01-05 16:30:57.085  2615  2627 I my_log  : returnType : void
01-05 16:30:57.085  2615  2627 I my_log  : parameterName : boolean
01-05 16:30:57.085  2615  2627 I my_log  : Method :setPowerLongPressKey
01-05 16:30:57.085  2615  2627 I my_log  : returnType : void
01-05 16:30:57.085  2615  2627 I my_log  : parameterName : boolean
01-05 16:30:57.086  2615  2627 I my_log  : Method :setPowerSingleClickKey
01-05 16:30:57.086  2615  2627 I my_log  : returnType : void
01-05 16:30:57.086  2615  2627 I my_log  : parameterName : boolean
01-05 16:30:57.086  2615  2627 I my_log  : Method :setRecentKey
01-05 16:30:57.086  2615  2627 I my_log  : returnType : void
01-05 16:30:57.086  2615  2627 I my_log  : parameterName : boolean
01-05 16:30:57.086  2615  2627 I my_log  : Method :setTFcard
01-05 16:30:57.086  2615  2627 I my_log  : returnType : void
01-05 16:30:57.086  2615  2627 I my_log  : parameterName : boolean
01-05 16:30:57.087  2615  2627 I my_log  : Method :setUsbOnlyCharging
01-05 16:30:57.087  2615  2627 I my_log  : returnType : void
01-05 16:30:57.087  2615  2627 I my_log  : parameterName : boolean
01-05 16:30:57.087  2615  2627 I my_log  : Method :setVolumedownKey
01-05 16:30:57.087  2615  2627 I my_log  : returnType : void
01-05 16:30:57.087  2615  2627 I my_log  : parameterName : boolean
01-05 16:30:57.087  2615  2627 I my_log  : Method :setVolumeupKey
01-05 16:30:57.087  2615  2627 I my_log  : returnType : void
01-05 16:30:57.087  2615  2627 I my_log  : parameterName : boolean
01-05 16:30:57.087  2615  2627 I my_log  : Method :setWifiProxy
01-05 16:30:57.087  2615  2627 I my_log  : returnType : void
01-05 16:30:57.088  2615  2627 I my_log  : parameterName : boolean
01-05 16:30:57.088  2615  2627 I my_log  : Method :shutDown
01-05 16:30:57.088  2615  2627 I my_log  : returnType : void
01-05 16:30:57.088  2615  2627 I my_log  : Method :silentInstall
01-05 16:30:57.088  2615  2627 I my_log  : returnType : void
01-05 16:30:57.088  2615  2627 I my_log  : parameterName : java.lang.String
01-05 16:30:57.088  2615  2627 I my_log  : Method :silentUnInstall
01-05 16:30:57.088  2615  2627 I my_log  : returnType : void
01-05 16:30:57.088  2615  2627 I my_log  : parameterName : java.lang.String
01-05 16:30:57.088  2615  2627 I my_log  : Method :toString
01-05 16:30:57.089  2615  2627 I my_log  : returnType : java.lang.String
01-05 16:30:57.089  2615  2627 I my_log  : Method :updateSystemTime
01-05 16:30:57.089  2615  2627 I my_log  : returnType : boolean
01-05 16:30:57.089  2615  2627 I my_log  : parameterName : java.lang.String
01-05 16:30:57.089  2615  2627 I my_log  : Method :urlBlackListRead
01-05 16:30:57.089  2615  2627 I my_log  : returnType : java.util.List
01-05 16:30:57.089  2615  2627 I my_log  : Method :urlBlackListWrite
